cluster,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene
0,0,3.21965172080981,0.362,0.069,0,MSLN
0,0,2.96761319965507,0.344,0.074,0,TFPI2
0,0,2.93210004354099,0.355,0.071,0,KRT19
0,0,2.79760745849144,0.737,0.102,0,ITLN1
0,0,2.74936036394542,0.25,0.058,0,HP
0,0,2.40972024915069,0.405,0.09,0,KRT8
0,0,2.34519305642795,0.608,0.103,0,KRT18
0,0,2.30389700644127,0.643,0.14,0,SLPI
0,0,2.29629143109331,0.605,0.132,0,TM4SF1
0,0,2.26879557776933,0.282,0.085,0,OGN
1,0,4.34706121079443,0.865,0.123,0,CXCL14
1,0,3.36504372027313,0.956,0.211,0,CFD
1,0,3.27508088940921,0.284,0.034,0,SRPX
1,0,3.25059462456153,0.371,0.049,0,IGFBP7
1,0,3.00781431511631,0.325,0.05,0,COL6A3
1,0,2.81765671695086,0.848,0.192,0,LUM
1,0,2.52278575747237,0.506,0.076,0,APOE
1,0,2.45283225726526,0.269,0.058,0,ITM2A
1,0,2.44509474436746,0.822,0.183,0,APOD
1,0,2.31642289374763,0.521,0.155,0,MGST1
2,0,8.17222816856893,0.405,0.005,0,SPP1
2,0,7.26590466773862,0.4,0.003,0,TREM2
2,0,6.19370315146471,0.526,0.009,0,C1QB
2,0,6.15898910989328,0.327,0.006,0,ACP5
2,0,6.14851538711257,0.309,0.004,0,C1QC
2,0,5.42426998602782,0.452,0.012,0,C1QA
2,0,5.29051543413981,0.298,0.008,0,IL1RN
2,0,4.9867286637025,0.513,0.024,0,LIPA
2,0,4.95581072234594,0.45,0.019,0,CD68
2,0,4.70740946425965,0.653,0.054,0,CTSB
3,0,3.68149388671295,0.334,0.066,0,PTGDS
3,0,3.54025321699068,0.483,0.064,0,DPT
3,0,2.79261968160483,0.28,0.046,0,WISP2
3,0,2.74691220661275,0.263,0.047,0,GPC3
3,0,2.4160422184011,0.804,0.203,0,APOD
3,0,2.37566447518882,0.932,0.464,0,MGP
3,0,2.35006313405257,0.273,0.06,0,CXCL12
3,0,2.25986036523201,0.544,0.144,0,GPX3
3,0,2.13315634902102,0.925,0.322,0,DCN
3,0,2.01303814164047,0.505,0.143,0,SERPINF1
4,0,4.7191111195695,0.372,0.019,0,IL7R
4,0,3.71783274451313,0.276,0.02,0,CD3D
4,0,3.3494279482465,0.301,0.033,0,CD48
4,0,3.2319367887199,0.287,0.033,0,KLRB1
4,0,2.87866813154648,0.412,0.065,0,CXCR4
4,0,2.83270767032991,0.397,0.064,0,IL32
4,0,2.49612173059411,0.456,0.117,0,SARAF
4,0,2.18840433740059,0.274,0.061,0,CCL5
4,0,2.1116111912108,0.371,0.102,0,ARHGDIB
4,0,1.81645557846981,0.54,0.142,0,CD52
5,0,3.27701541689187,0.94,0.119,0,KRT18
5,0,3.20540198892024,0.838,0.079,0,KRT8
5,0,2.97066887039006,0.341,0.023,0,CLDN1
5,0,2.85493746124688,0.934,0.142,0,ITLN1
5,0,2.75305145711057,0.349,0.026,0,HAS1
5,0,2.71205112842201,0.676,0.067,0,KRT19
5,0,2.57519998837072,0.475,0.041,0,UPK3B
5,0,2.55411620993411,0.919,0.147,0,TM4SF1
5,0,2.55307942832901,0.31,0.029,0,ALDH1A3
5,0,2.49305451458719,0.336,0.028,0,KLK11
6,0,5.73793236846547,0.383,0.012,0,PI16
6,0,5.21261849993011,0.508,0.029,0,FBN1
6,0,4.80388891142133,0.755,0.062,0,MFAP5
6,0,4.16882984632723,0.39,0.035,0,TPPP3
6,0,3.63262158831135,0.845,0.194,0,IGFBP6
6,0,3.28856490309563,0.335,0.059,0,TNXB
6,0,3.15868114284556,0.389,0.116,0,COL1A1
6,0,3.15689502286323,0.48,0.101,0,FSTL1
6,0,3.04501103503626,0.523,0.103,0,MFAP4
6,0,2.70334399122087,0.521,0.173,0,IGFBP5
7,0,5.30093625722803,0.28,0.03,0,S100A9
7,0,4.63388330539032,0.408,0.03,0,HLA-DQA1
7,0,4.52386470277633,0.42,0.036,0,LST1
7,0,4.39020538509981,0.66,0.09,0,HLA-DPB1
7,0,4.24709731790066,0.457,0.041,0,HLA-DQB1
7,0,3.98967967424506,0.608,0.09,0,HLA-DPA1
7,0,3.77865128443478,0.817,0.141,0,HLA-DRA
7,0,3.57218344606994,0.659,0.115,0,HLA-DRB1
7,0,3.55581095542602,0.441,0.057,0,IL1B
7,0,3.43816097869552,0.518,0.071,0,LYZ
8,0,6.62136465754298,0.285,0.004,0,VWF
8,0,6.22831124710495,0.274,0.005,0,APOLD1
8,0,6.12776274602094,0.532,0.024,0,RBP7
8,0,3.24462009155148,0.587,0.099,0,SPARCL1
8,0,2.93778308014152,0.522,0.129,0,GNG11
8,0,2.82824218059357,0.882,0.237,0,FABP4
8,0,2.79529928807287,0.268,0.05,0,A2M
8,0,2.61517188372321,0.653,0.204,0,IFI27
8,0,2.3805694123015,0.5,0.126,0,CD36
8,0,2.34877937354262,0.352,0.098,0,BST2
9,0,6.58092941835985,0.423,0.008,0,FGFBP2
9,0,6.37687702394162,0.497,0.008,0,GZMB
9,0,6.33338463139766,0.926,0.031,0,NKG7
9,0,6.11774183961191,0.67,0.024,0,GNLY
9,0,5.91622232959309,0.438,0.01,0,GZMH
9,0,5.86495579923121,0.355,0.009,0,CTSW
9,0,5.59917579373058,0.558,0.018,0,CST7
9,0,5.55479255766834,0.251,0.006,0,KLRD1
9,0,5.03895501323815,0.25,0.011,0,HOPX
9,0,4.65649828651267,0.313,0.021,0,CD7
10,0,9.59370409316183,0.551,0.001,0,CD79A
10,0,8.75614792893057,0.273,0.001,0,MS4A1
10,0,7.5419765933333,0.261,0.001,0,IGHM
10,0,6.03123719026706,0.261,0.002,0,IGLC2
10,0,5.38357467590081,0.483,0.005,0,IGKC
10,0,4.29820841171068,0.653,0.058,0,CD37
10,0,3.38564275210779,0.341,0.039,0,CD69
10,0,2.79011676815131,0.943,0.251,0,CD74
10,0,2.73366143935223,0.312,0.048,0,ISG20
10,0,2.7288170346621,0.489,0.095,0,CXCR4
11,0,7.0370200797858,0.3,0.005,0,TK1
11,0,6.21809810475904,0.417,0.008,0,KIAA0101
11,0,5.13621809729202,0.833,0.067,0,STMN1
11,0,4.42168028814525,0.633,0.063,0,HMGB2
11,0,4.41671782277648,0.517,0.052,0,HIST1H4C
11,0,3.87829280296795,0.35,0.026,0,GZMA
11,0,3.5244544745726,0.283,0.032,0,CKS2
11,0,3.49294998997075,0.45,0.043,0,CD3D
11,0,3.30365833052898,0.483,0.061,0,CORO1A
11,0,3.30316360850323,0.25,0.039,0,H2AFV
